zone,fam,macro,producto,rho,abs_rho,n
nacional,edif_4p,imacec_var,sup_yoy,-0.03582283977420755,0.03582283977420755,48
nacional,edif_4p,d_tasa_hipo,precio_yoy,0.013677811550151976,0.013677811550151976,48
nacional,edif_4p,d_tasa_hipo,velocidad_yoy,-0.42314372557533647,0.42314372557533647,48
nacional,edif_4p,d_tasa_hipo,plazo_yoy,0.38069908814589665,0.38069908814589665,48
nacional,edif_4p,d_tasa_hipo,descuento_yoy,-0.10953104646113765,0.10953104646113765,48
nacional,edif_4p,d_tasa_hipo,sup_yoy,-0.0028224055579678677,0.0028224055579678677,48
nacional,edif_4p,d_desempleo,precio_yoy,-0.2930669525429734,0.2930669525429734,48
nacional,edif_4p,d_desempleo,velocidad_yoy,0.06232694729887615,0.06232694729887615,48
nacional,edif_4p,d_desempleo,plazo_yoy,0.11775884032339926,0.11775884032339926,48
nacional,edif_4p,d_desempleo,descuento_yoy,-0.017590532164491177,0.017590532164491177,48
nacional,edif_4p,d_desempleo,sup_yoy,-0.14137575850720688,0.14137575850720688,48
nacional,edif_4p,ipv_general_yoy,precio_yoy,0.2120093459948705,0.2120093459948705,48
nacional,edif_4p,ipv_general_yoy,velocidad_yoy,0.09039579028974633,0.09039579028974633,48
nacional,edif_4p,ipv_general_yoy,plazo_yoy,-0.2945871219892874,0.2945871219892874,48
nacional,edif_4p,ipv_general_yoy,descuento_yoy,0.08165481597344053,0.08165481597344053,48
nacional,edif_4p,ipv_general_yoy,sup_yoy,-0.17720832402746667,0.17720832402746667,48
nacional,edif_4p,icoi_yoy,precio_yoy,0.11598332962066449,0.11598332962066449,48
nacional,edif_4p,icoi_yoy,velocidad_yoy,0.059786903964873475,0.059786903964873475,48
nacional,edif_4p,icoi_yoy,plazo_yoy,-0.10526629587991827,0.10526629587991827,48
nacional,edif_4p,icoi_yoy,descuento_yoy,-0.28783667777811245,0.28783667777811245,48
nacional,edif_4p,icoi_yoy,sup_yoy,-0.20514687429621284,0.20514687429621284,48
nacional,ds19,imacec_var,precio_yoy,-0.08980938416422286,0.08980938416422286,32
nacional,ds19,imacec_var,velocidad_yoy,-0.219208211143695,0.219208211143695,32
nacional,ds19,imacec_var,plazo_yoy,0.08321114369501466,0.08321114369501466,32
nacional,ds19,imacec_var,descuento_yoy,0.33874072179661807,0.33874072179661807,32
nacional,ds19,imacec_var,sup_yoy,-0.08284457478005865,0.08284457478005865,32
nacional,ds19,d_tasa_hipo,precio_yoy,0.20931085043988265,0.20931085043988265,32
nacional,ds19,d_tasa_hipo,velocidad_yoy,-0.03885630498533724,0.03885630498533724,32
nacional,ds19,d_tasa_hipo,plazo_yoy,0.12463343108504396,0.12463343108504396,32
nacional,ds19,d_tasa_hipo,descuento_yoy,0.1574557792333847,0.1574557792333847,32
nacional,ds19,d_tasa_hipo,sup_yoy,-0.06781524926686217,0.06781524926686217,32
nacional,ds19,d_desempleo,precio_yoy,-0.3142071546837622,0.3142071546837622,32
nacional,ds19,d_desempleo,velocidad_yoy,-0.03336388690340999,0.03336388690340999,32
nacional,ds19,d_desempleo,plazo_yoy,-0.20073327560018647,0.20073327560018647,32
nacional,ds19,d_desempleo,descuento_yoy,-0.02227518572013517,0.02227518572013517,32
nacional,ds19,d_desempleo,sup_yoy,0.25389551297375185,0.25389551297375185,32
nacional,ds19,ipv_general_yoy,precio_yoy,-0.6140160352294258,0.6140160352294258,32
nacional,ds19,ipv_general_yoy,velocidad_yoy,-0.3043479541217859,0.3043479541217859,32
nacional,ds19,ipv_general_yoy,plazo_yoy,-0.42964611727138186,0.42964611727138186,32
nacional,ds19,ipv_general_yoy,descuento_yoy,-0.09833963538729765,0.09833963538729765,32
nacional,ds19,ipv_general_yoy,sup_yoy,0.5160523176278382,0.5160523176278382,32
nacional,ds19,icoi_yoy,precio_yoy,0.10583990445901212,0.10583990445901212,32
nacional,ds19,icoi_yoy,velocidad_yoy,-0.09198651382301576,0.09198651382301576,32
nacional,ds19,icoi_yoy,plazo_yoy,-0.18711312952352405,0.18711312952352405,32
nacional,ds19,icoi_yoy,descuento_yoy,-0.4112063196668524,0.4112063196668524,32
nacional,ds19,icoi_yoy,sup_yoy,0.06797397005395542,0.06797397005395542,32
nacional,casa,imacec_var,precio_yoy,0.05058619192357794,0.05058619192357794,48
nacional,casa,imacec_var,velocidad_yoy,0.17346938775510204,0.17346938775510204,48
